A,Assigned to,Article,Article No.,Item Group,Base Unit,Store Unit,Loss,Last Purchase Price,Sales Price,Ignore in Inventory,Article Code,Weight Factor,Barcode,Producer,Country of Origin,Article Folder/URL 1,Picture,Article Folder/URL 2,Visibility,Changed by,At
,Expenses,Foam Lotion Soap- Reza,4002,Chicemicals,Each,Each,,0.952,0,0,,1,,,,,,,0,Shkakhwa,11/01/2017
,Profit Contribution,Food Colour Red,131001,Coloring,Liter,Liter,,4.762,0,0,,1,,,,,,,0,Admin,19/02/2016
,Profit Contribution,FOSTER CLARK'S BAKING POWDER 450 GM,118001,Baking Items,Kilogram,Kilogram,,2.44,0,0,,1,,,,,,,0,Admin,19/02/2016
,Profit Contribution,Foul California Grdens,132010,Canned Vegetables,Kilogram,Kilogram,35.00%,0.595,0,0,,1,,,,,,,0,Shkakhwa,01/07/2017
,Profit Contribution,FREEKA SOFT (KHUDARY),111010,Grain,Kilogram,Kilogram,,1,0,0,,1,,,,,,,0,Admin,20/02/2016
,Expenses,freezer for ice cream ( Cold ),5174,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,French Fry Scoop Plain White,5000026,Packaging,Each,Each,,0.014,0,0,,1,,,,,,,0,Shkakhwa,30/05/2018
,Profit Contribution,Fresh Basil ,108001,Fresh Herbs,Kilogram,Kilogram,20.00%,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Fresh Cow Milk,102007,Milk,Liter,Liter,,0.4,0,0,,1,,,,,,,0,Shkakhwa,21/06/2020
,Profit Contribution,Fresh Ginger,107022,Fresh Vegetables,Kilogram,Kilogram,0.00%,0.47,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Fresh Hamour Whole ,127012,Fresh Fish,Kilogram,Kilogram,15.00%,4,0,0,,1,,,,,,,0,Admin,01/03/2016
,Profit Contribution,FRESH LABANA,105001,Dairy Others,Kilogram,Kilogram,,2.7,0,0,,1,,,,,,,0,Admin,18/02/2016
,Profit Contribution,Fresh Salmon Fish,127022,Fresh Fish,Kilogram,Kilogram,,4,0,0,,1,,,,,,,0,Vinay,18/10/2017
,Profit Contribution,Fresh Salmon-Norwegian.,127001,Fresh Fish,Kilogram,Kilogram,45.00%,4.6,0,0,,1,,,,,,,0,Admin,19/02/2016
,Expenses,Friyer Basket,15023,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,frizzer under counter white for chicken  ( BBQ ),5060,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,frizzer up right  no 2 berja ( BBQ ),5062,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,Frozen Blackberry 0.340 KG,141005,Frozen Fruits,Kilogram,Kilogram,,4.926,0,0,,1,,,,,,,0,Shkakhwa,06/12/2018
,Profit Contribution,Frozen Broad Beans,137005,Frozen Vegetables,Kilogram,Kilogram,,1.686,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Frozen Raspberry 0.340 KG,141004,Frozen Fruits,Kilogram,Kilogram,,5.5,0,0,,1,,,,,,,0,Shkakhwa,06/12/2018
,Profit Contribution,Frozen Strawberry,141006,Frozen Fruits,Kilogram,Kilogram,,1.038,0,0,,1,,,,,,,0,Shkakhwa,22/07/2021
,Expenses,Fruit & Veg Chiller (Bar Area),6129,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Fruit Chopping Board (Bar Area),6162,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Fruit Display Glass Vase (Bar Area),6138,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,fryer 1 compartment electric,5306,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,23/12/2017
,Expenses,fryer two compartment ( Hot ),5092,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,Galss rack for dishwashing (Bar Area),6160,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,garbage  (Dishwasher),5254,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Profit Contribution,Garbage Bag 10GLN,120067,Other Condiments,Each,Each,,0.011,0,0,,1,,,,,,,0,Shkakhwa,02/12/2016
,Profit Contribution,Garbage Bag 70GLN - Clea ,120068,Other Condiments,Each,Each,,0.082,0,0,,1,,,,,,,0,Shkakhwa,02/12/2016
,Expenses,Garbage Bag 90 GLN ( 110*12),120024,Packaging,Each,Each,,0.048,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Profit Contribution,Garbage Bag White 5 Glns,120064,Other Condiments,Each,Each,,0.3,0,0,,1,,,,,,,0,Shkakhwa,06/11/2016
,Expenses,garbage small ( Bakery ),5226,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,14/12/2017
,Profit Contribution,Garlic  ,107021,Fresh Vegetables,Kilogram,Kilogram,5.00%,0.45,0,0,,1,,,,,,,0,Shkakhwa,16/03/2017
,Profit Contribution,Garlic Paste Prep 6.700 kg (PA),800046,Sub Reciepes,Kilogram,Kilogram,0.00%,0.806,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Expenses,Garnish bowl size 1 cup ( Cold ),5199,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,gas 4 burner under oven ( Hot ),5096,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,gas 6 burner under oven ( Hot ),5095,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,Gas Celinder,1000001,Others,Each,Each,,4.5,0,0,,1,,,,,,,0,Shkakhwa,10/12/2016
,Expenses,gas cooker 6 burner ( prep ),5008,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Expenses,Gas Cylinder (Bar Area),6155,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Gas Stove 3 Burner (Bar Area),6120,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,Ghrayba Prep 2.200 KG (PA),800110,Sub Reciepes,Kilogram,Kilogram,0.00%,1.771,0,0,,1,,,,,,,,Shkakhwa,27/10/2019
,Expenses,Gilden Plate Leaf Shape Big (Bar Area),6142,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Gilden Plate Leaf Shape Small (Bar Area),6143,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Glass Candle Box (Bar Area),6148,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Glass Candle Holder (Wall Display),6114,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Glass Sand Clock (Bar Area),6147,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Glass Stand (Bar Area),6168,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Glass Tube (Bar Area),6145,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,Golda Macaroni Shell,110002,Pasta,Kilogram,Kilogram,,1.352,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,GOLDEN ALEX OKRA 400 gm,137002,Frozen Vegetables,Kilogram,Kilogram,,2.19,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Golden G Flour Stick,119009,Dry Food,Kilogram,Kilogram,,0.895,0,0,,1,,,,,,,0,Shkakhwa,30/10/2019
,Profit Contribution,Green Apple  ,106011,Fresh Fruits,Kilogram,Kilogram,,0.65,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Green Beans,107006,Fresh Vegetables,Kilogram,Kilogram,15.00%,0.85,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,green capsicum ,107030,Fresh Vegetables,Kilogram,Kilogram,15.00%,0.45,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Green Chili,107012,Fresh Vegetables,Kilogram,Kilogram,10.00%,0.85,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Green Color,131002,Coloring,Liter,Liter,,0,0,0,,1,,,,,,,0,Admin,19/02/2016
,Expenses,green container ( Cold ),5181,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,Green Grapes ,106010,Fresh Fruits,Kilogram,Kilogram,,1.5,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Green Lintle 1kg,111007,Grain,Kilogram,Kilogram,,0.762,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Green vence,107064,Fresh Vegetables,Kilogram,Kilogram,,1.6,0,1,,1,,,,,,,0,Shkakhwa,26/12/2016
,Profit Contribution,Green Zaatar,113016,Herbs,Kilogram,Kilogram,,1.872,0,0,,1,,,,,,,0,Shkakhwa,29/08/2019
,Expenses,grey container ( Cold ),5182,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,grilled charcoal 3 meters ( BBQ ),5068,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,Grilled Musakhan prep 1 KG (PA),800080,Sub Reciepes,Kilogram,Kilogram,0.00%,0.752,0,0,,1,,,,,,,,Shkakhwa,30/06/2017
,Profit Contribution,Grilled Shrimp Prep 2 kg  (PA) ( Dont Use ),800078,Sub Reciepes,Portion,Portion,0.00%,7.963,0,0,,1,,,,,,,0,Shkakhwa,02/07/2018
,Profit Contribution,Grilled Shrimp Prep 2 kg (PA),800023,Sub Reciepes,Kilogram,Kilogram,0.00%,7.97,0,0,,1,,,,,,,0,Shkakhwa,02/07/2018
,Expenses,grilled tweezers stainless steel - (Dishwasher),5293,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Profit Contribution,Guava Frozen,141002,Frozen Fruits,Kilogram,Kilogram,,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Expenses,Hair Net ( MOB CAP ),120025,Packaging,Each,Each,,0.01,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Profit Contribution,HAJDU HALLOUMI GRILL CHEESE 10KG,101011,Cheese,Kilogram,Kilogram,,6.25,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Halawa Chocolate,105020,Dairy Others,Kilogram,Kilogram,,2.395,0,0,,1,,,,,,,0,Shkakhwa,24/09/2017
,Profit Contribution,Halawet El Juben Prep 1.3 kg (PA),800047,Sub Reciepes,Kilogram,Kilogram,0.00%,1.831,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Half Chicken Grilled Prep portion (PA),800072,Sub Reciepes,Portion,Portion,0.00%,0.766,0,0,,1,,,,,,,,Shkakhwa,17/12/2016
,Profit Contribution,Hammor Fillet Frozen,140008,Frozen Fish,Kilogram,Kilogram,,2.5,0,0,,1,,,,,,,0,Shkakhwa,18/06/2016
,Profit Contribution,Hamour Fish Harra Prep 1 kg (PA),800039,Sub Reciepes,Kilogram,Kilogram,0.00%,7.77,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Expenses,Hand San 800 ML F/Automatic,4001,Chicemicals,Each,Each,,0.495,0,0,,1,,,,,,,0,Shkakhwa,11/01/2017
,Expenses,Hand Sprayer,1000029,Others,Each,Each,,0.857,0,0,,1,,,,,,,0,Shkakhwa,30/03/2021
,Expenses,Hanging Lamp  (Bar Area),6156,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,harish,119010,Dry Food,Kilogram,Kilogram,,0.625,0,0,,1,,,,,,,0,Shkakhwa,01/03/2020
,Profit Contribution,Harra Sauce Prep 5.114 ltr (PA),800056,Sub Reciepes,Liter,Liter,0.00%,0.737,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Hazelnut 14-16 mm 1 KG,117008,Nuts,Kilogram,Kilogram,,6.076,0,0,,1,,,,,,,0,Admin,20/02/2016
,Expenses,Healthy French fries Fryer,15004,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,30/12/2017
,Expenses,Hearb Garden (Wall Display),6105,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,heater big ( Hot ),5090,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,Heater Line 90 cm with Light ( Line Area ),5341,Kitchen Assets,Each,Each,,204.741,0,0,,1,,,,,,,0,Shkakhwa,21/04/2018
,Expenses,Heinz Portion Ketchup,1000028,Others,Each,Each,,0.009,0,0,,1,,,,,,,0,Shkakhwa,20/08/2020
,Profit Contribution,Hellmanns Sandwich Mayo,120011,Other Condiments,Kilogram,Kilogram,,3.69,0,0,,1,,,,,,,0,Shkakhwa,25/07/2021
,Profit Contribution,Hersheys Syrup Choco 650 GM,122007,Chocolates,Kilogram,Kilogram,,2.199,0,0,,1,,,,,,,0,Shkakhwa,07/09/2019
,Profit Contribution,Hibiscus Tea Bag,142011,Coffee & Tea,Each,Each,,0.042,0,0,,1,,,,,,,0,Shkakhwa,31/03/2016
,Expenses,Highball Glass ( Dining ),1047,Small Ware,Each,Each,,1.75,0,0,,1,,,,,,,0,Shkakhwa,30/12/2017
,Expenses,HINTZ POT CLEANER G,4007,Chicemicals,Each,Each,,0.395,0,0,,1,,,,,,,0,Shkakhwa,31/08/2017
,Profit Contribution,Home Made Halloumi Cheese Prep 1.350 KG (PA),800131,Sub Reciepes,Kilogram,Kilogram,0.00%,3.071,0,0,,1,,,,,,,,Shkakhwa,28/06/2020
,Profit Contribution,Home Made Halloumi Marai Milk 1.45 KG (PA),800134,Sub Reciepes,Kilogram,Kilogram,0.00%,0,0,0,,1,,,,,,,,Shkakhwa,28/08/2020
,Profit Contribution,Home Made Mixed Pixkles 13 KG (PA),800133,Sub Reciepes,Kilogram,Kilogram,0.00%,0.367,0,0,,1,,,,,,,,Shkakhwa,31/07/2020
,Profit Contribution,Home Made Qashta Prep 0.950 KG (PA),800130,Sub Reciepes,Kilogram,Kilogram,0.00%,1.391,0,0,,1,,,,,,,,Shkakhwa,28/06/2020
,Profit Contribution,Home Made Sausage Prep 10.500 KG (PA),800111,Sub Reciepes,Kilogram,Kilogram,0.00%,2.74,0,0,,1,,,,,,,,Shkakhwa,17/11/2019
,Profit Contribution,Home Made Sundried Tomato 1.3 KG (PA),800135,Sub Reciepes,Kilogram,Kilogram,0.00%,4.212,0,0,,1,,,,,,,,Shkakhwa,01/11/2020
,Profit Contribution,Home Made Yoghurt Prep 10 KG  (PA),800132,Sub Reciepes,Kilogram,Kilogram,0.00%,0.438,0,0,,1,,,,,,,,Shkakhwa,28/06/2020
,Expenses,Horican glass,1046,Small Ware,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,10/09/2016
,Profit Contribution,Hortex Green Peas 400 GM,137001,Frozen Vegetables,Kilogram,Kilogram,,2.106,0,0,,1,,,,,,,0,Shkakhwa,28/12/2016
,Profit Contribution,Hortex Leaf Spinach 400 GM,137004,Frozen Vegetables,Kilogram,Kilogram,,1.738,0,0,,1,,,,,,,0,Shkakhwa,28/12/2016
,Expenses,Hot Box,10001,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,18/12/2017
,Profit Contribution,Hot Chilli Sauce,116016,Syrups,Liter,Liter,,1.831,0,0,,1,,,,,,,0,Shkakhwa,20/07/2018
,Expenses,HP laserjet Printer (Recieption Area),6025,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,Hummos Areesh Prep 1.3 kg (PA),800010,Sub Reciepes,Kilogram,Kilogram,0.00%,2.315,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Hummose Tahina Prep 3 kg (PA),800009,Sub Reciepes,Kilogram,Kilogram,0.00%,0.614,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Hummus Bayroti 1.2 KG (PA),800086,Sub Reciepes,Kilogram,Kilogram,0.00%,0.604,0,0,,1,,,,,,,,Shkakhwa,19/07/2018
,Expenses,ice cream scoop (Dishwasher),5235,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,14/12/2017
,Expenses,ice tong (Dishwasher),5236,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,14/12/2017
,Profit Contribution,Iceberg Lettuce,107084,Fresh Vegetables,Kilogram,Kilogram,,2.492,0,0,,1,,,,,,,0,Shkakhwa,27/07/2020
,Profit Contribution,Icing Sugar 1 Kg,115007,Sugar,Kilogram,Kilogram,,1.614,0,0,,1,,,,,,,0,Sandeep,31/07/2016
,Expenses,Impulse Sealer,5343,Kitchen Assets,Each,Each,,20,0,0,,1,,,,,,,0,Shkakhwa,27/09/2019
,Expenses,Insect Killer (Recieption Area),6057,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Instikana 6 (Wall Display),6112,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,Irani Bread 1 pcs,135003,Bread,Each,Each,,0.05,0,0,,1,,,,,,,0,Shkakhwa,20/05/2016
,Expenses,Irish Coffee Cup 7.5 OZ,1048,Small Ware,Each,Each,,1.6,0,0,,1,,,,,,,0,Shkakhwa,22/12/2016
,Profit Contribution,Jameed Jordan,105006,Dairy Others,Kilogram,Kilogram,,6.792,0,0,,1,,,,,,,0,Shkakhwa,23/04/2016
,Profit Contribution,Jarrish 1 KG,111019,Grain,Kilogram,Kilogram,,0.525,0,0,,1,,,,,,,0,Shkakhwa,16/03/2017
,Profit Contribution,Jasmin Rice ( for staff ),109003,Rice,Kilogram,Kilogram,,0.325,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Profit Contribution,JUICE APPLE PRM 300ML,124002,Bottled Juices,Each,Each,,0.202,0,0,,1,,,,,,,0,Shkakhwa,28/10/2017
,Expenses,Juice Dispenser 5 Ltr,10003,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,18/12/2017
,Expenses,Juice Dispenser 8 Ltr,10004,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,18/12/2017
,Expenses,Juice Glass,1074,Small Ware,Each,Each,,0.19,0,0,,1,,,,,,,0,Shkakhwa,08/03/2017
,Expenses,Juice Squeezer Machine (Bar Area),6123,Dining Assets,Each,Each,,204.741,0,0,,1,,,,,,,0,Shkakhwa,14/01/2018
,Profit Contribution,K 2 Bread Improver 1 kg,118024,Baking Items,Kilogram,Kilogram,,1.7,0,0,,1,,,,,,,0,Sandeep,05/08/2016
,Profit Contribution,Kabab Chicken Prep 17.100 kg (PA),800059,Sub Reciepes,Kilogram,Kilogram,0.00%,1.261,0,0,,1,,,,,,,0,Shkakhwa,14/06/2017
,Profit Contribution,Kabab halabi Prep 19.2 kg (PA),800002,Sub Reciepes,Kilogram,Kilogram,0.00%,2.334,0,0,,1,,,,,,,,Shkakhwa,19/04/2016
,Profit Contribution,Kabsah Rice 1.1 KG (PA),800074,Sub Reciepes,Kilogram,Kilogram,0.00%,0.623,0,0,,1,,,,,,,,Shkakhwa,28/12/2016
,Profit Contribution,Karaja Chana Dal ,111014,Grain,Kilogram,Kilogram,,0.476,0,0,,1,,,,,,,0,Shkakhwa,26/03/2016
,Profit Contribution,Kebbeh Cheese 1 Pcs (PA),800097,Sub Reciepes,Each,Each,0.00%,0.056,0,0,,0.038,,,,,,,,Shkakhwa,06/12/2018
,Profit Contribution,Kebeh Borghol 1 pc (PA),800085,Sub Reciepes,Each,Each,0.00%,0.074,0,0,,0.042,,,,,,,,Shkakhwa,01/07/2018
,Profit Contribution,Kebeh Borghol 1 pc (PA) DONT USE,800082,Sub Reciepes,Each,Each,0.00%,0.074,0,0,,0.042,,,,,,,0,Shkakhwa,02/05/2018
,Profit Contribution,Kebeh Borghol 4 pcs (PA),800066,Sub Reciepes,Portion,Portion,0.00%,0.313,0,1,,1,,,,,,,0,Shkakhwa,02/11/2017
,Profit Contribution,Kebeh Filling 6.500 kg (PA),800045,Sub Reciepes,Kilogram,Kilogram,0.00%,3.23,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Expenses,Kentuky Mop Head,120031,Packaging,Each,Each,,1.33,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Expenses,Kentuky Mop Head S,120032,Packaging,Each,Each,,3.8,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Expenses,Key board (Recieption Area),6027,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,King Scallops - U.S. (U/10),140003,Frozen Fish,Kilogram,Kilogram,25.00%,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Expenses,kitchen Cloth,1000020,Others,Each,Each,,0.19,0,0,,1,,,,,,,0,Shkakhwa,31/01/2018
,Profit Contribution,Kiwi  ,106021,Fresh Fruits,Kilogram,Kilogram,,1.2,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Kiwi Frozen,141003,Frozen Fruits,Kilogram,Kilogram,,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Kiwifruit,106025,Fresh Fruits,Kilogram,Kilogram,,0,0,0,,1,,,,,,,0,Shkakhwa,17/10/2019
,Expenses,knife blue ( Butchery ),5148,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,knife green 27 cm ( Gold ),5178,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,Knife magnet Holder ( Butchery ),5160,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,knife red ( Butchery ),5147,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,Knife Wall magnet ( Prep ),5025,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Expenses,knife white 22 cm ( Cold ),5179,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,knife yellow ( Butchery ),5146,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,Knorr Corn Oil,114001,Oils,Liter,Liter,,0.722,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Knorr Demi Glace,112034,Spices,Kilogram,Kilogram,,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Knorr Frying Solution Oil 17.5,114006,Oils,Liter,Liter,,0.533,0,0,,1,,,,,,,0,Shkakhwa,01/04/2016
,Profit Contribution,Knorr Hollandice Sauce 1LTR,105025,Dairy Others,Liter,Liter,,4.025,0,0,,1,,,,,,,0,Shkakhwa,26/07/2018
,Profit Contribution,Knorr Seasoning shesh Tawook Mix,112039,Spices,Kilogram,Kilogram,,3.334,0,0,,1,,,,,,,0,Shkakhwa,04/01/2017
,Expenses,Kunafa Burner 3 Burners,15029,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,kunafa stove ( Cold ),5333,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,24/12/2017
,Expenses,Kunafa Wooden Base,10008,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,18/12/2017
,Profit Contribution,kusa baby marrow,107014,Fresh Vegetables,Kilogram,Kilogram,10.00%,0.5,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Labanah Areesh Prep 1.185 kg (PA),800004,Sub Reciepes,Kilogram,Kilogram,0.00%,2.557,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Labanah Home Made Prep 2.100 KG (PA),800104,Sub Reciepes,Kilogram,Kilogram,0.00%,1.786,0,0,,1,,,,,,,,Shkakhwa,30/08/2019
,Expenses,ladle mfstolo soup spoon cm0.9 L.33 Lt.020 (Dishwasher),5280,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Expenses,ladle tube handle 11970-14 (Dishwasher),5283,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Profit Contribution,Lady Finger,107081,Fresh Vegetables,Kilogram,Kilogram,,0.85,0,0,,1,,,,,,,0,Shkakhwa,30/10/2019
,Profit Contribution,Lahm Bel Ajeen Meat Prep 1 kg (PA),800052,Sub Reciepes,Kilogram,Kilogram,0.00%,1.552,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Lamb Back,125023,Fresh Meat,Kilogram,Kilogram,50.00%,2.5,0,0,,1,,,,,,,0,Shkakhwa,05/03/2017
,Profit Contribution,Lamb Chob,125006,Fresh Meat,Kilogram,Kilogram,,2.7,0,0,,1,,,,,,,0,Shkakhwa,05/03/2017
,Profit Contribution,Lamb Chop Prep 1 kg (PA),800024,Sub Reciepes,Kilogram,Kilogram,0.00%,1.828,0,0,,1,,,,,,,0,Shkakhwa,15/02/2018
,Profit Contribution,lamb fat,125005,Fresh Meat,Kilogram,Kilogram,5.00%,2.6,0,0,,1,,,,,,,0,Shkakhwa,05/03/2017
,Profit Contribution,lamb meat,125004,Fresh Meat,Kilogram,Kilogram,,2.5,0,0,,1,,,,,,,0,Shkakhwa,05/03/2017
,Expenses,Lamp Shade (Bar Area),6146,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,LD Transperrent Bag 8*12,120053,Other Condiments,Kilogram,Kilogram,,1.1,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Profit Contribution,Leb Labneh w Olive Oil,105019,Dairy Others,Kilogram,Kilogram,,4,0,0,,1,,,,,,,0,Shkakhwa,24/09/2017
,Profit Contribution,Lebanese Bread,135002,Bread,Each,Each,,0.02,0,0,,1,,,,,,,0,Admin,24/02/2016
,Profit Contribution,Leeks,107072,Fresh Vegetables,Kilogram,Kilogram,5.00%,1.6,0,0,,1,,,,,,,0,Shkakhwa,10/09/2017
,Profit Contribution,Lemon fresh,107023,Fresh Vegetables,Kilogram,Kilogram,10.00%,0.5,0,0,,1,,,,,,,0,Shkakhwa,03/06/2017
,Profit Contribution,Lemon Grass ,108008,Fresh Herbs,Kilogram,Kilogram,,0.667,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,lemon salt 1kg,120016,Other Condiments,Kilogram,Kilogram,,1.738,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Lentil Soup Prep 5.500 ltr (PA),800063,Sub Reciepes,Liter,Liter,20.00%,0.196,0,0,,1,,,,,,,0,Shkakhwa,09/07/2019
,Expenses,Lid (5015),5000005,Packaging,Each,Each,,0.014,0,0,,1,,,,,,,0,Shkakhwa,04/02/2017
,Expenses,Lid (5130),5000006,Packaging,Each,Each,,0.043,0,0,,1,,,,,,,0,Shkakhwa,04/02/2017
