A,Assigned to,Article,Article No.,Item Group,Base Unit,Store Unit,Loss,Last Purchase Price,Sales Price,Ignore in Inventory,Article Code,Weight Factor,Barcode,Producer,Country of Origin,Article Folder/URL 1,Picture,Article Folder/URL 2,Visibility,Changed by,At
,Profit Contribution,Colmans Mustard Jar Dijon 2.250 KG,120012,Other Condiments,Kilogram,Kilogram,,1.762,0,0,,1,,,,,,,0,Shkakhwa,14/12/2016
,Expenses,Coloring Pencil (Recieption Area),6059,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,Compound Chocolate,122009,Chocolates,Kilogram,Kilogram,,1.7,0,0,,1,,,,,,,0,Shkakhwa,01/02/2020
,Expenses,conical colander steel strainer (Dishwasher),5244,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Expenses,container 1/3  ( Bakery ),5216,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,14/12/2017
,Expenses,Conviction oven (sinmag) ( Prep ),5009,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Expenses,cooking pan big stainless steel ( Prep ),5021,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Expenses,Cooking Pan for Sahlab (Bar Area),6159,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Cooler,15046,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,Cooper pot with handle,15043,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,Cooper whole Lamb Chafingdish,15032,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,Coper Chi Lids,5000036,Packaging,Each,Each,,0.055,0,0,,1,,,,,,,0,Shkakhwa,16/08/2021
,Expenses,Copper Base (Bar Area),6172,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Copper Jug (Wall Display),6097,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Copper Pot with leddle (Bar Area),6171,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Copper Tea Pot,1065,Small Ware,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,01/01/2017
,Expenses,Copper Tray,1068,Small Ware,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,01/01/2017
,Profit Contribution,Coriander ( Dont Use ),107062,Fresh Vegetables,Kilogram,Kilogram,,1.5,0,1,,1,,,,,,,0,Shkakhwa,26/12/2016
,Profit Contribution,Coriander fresh   ,107076,Fresh Vegetables,Kilogram,Kilogram,20.00%,1.5,0,0,,1,,,,,,,0,Shkakhwa,10/09/2017
,Profit Contribution,Corn Can,132012,Canned Vegetables,Kilogram,Kilogram,,1.695,0,0,,1,,,,,,,0,Shkakhwa,31/07/2021
,Profit Contribution,Corn Flour 400GM Herman Brand,118004,Baking Items,Kilogram,Kilogram,,1.036,0,0,,1,,,,,,,0,Shkakhwa,20/04/2016
,Expenses,Counter Top Salad Chiller ( Hot Section ),5338,Kitchen Assets,Each,Each,,337.323,0,0,,1,,,,,,,0,Shkakhwa,21/04/2018
,Profit Contribution,Cowpow Milk Powder 25 KG,102004,Milk,Kilogram,Kilogram,,1.12,0,0,,1,,,,,,,0,Shkakhwa,05/01/2017
,Expenses,CPU (Recieption Area),6024,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,Crab Meat Special,127002,Fresh Fish,Kilogram,Kilogram,5.00%,0,0,0,,1,,,,,,,0,Admin,19/02/2016
,Profit Contribution,Crab Sticks,140006,Frozen Fish,Kilogram,Kilogram,10.00%,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Cream Soup Prep 6 ltr (PA),800001,Sub Reciepes,Liter,Liter,20.00%,0.534,0,0,,1,,,,,,,0,Shkakhwa,09/07/2019
,Expenses,Creative Speaker Set  (Recieption Area),6030,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,credimax machiene roll (Recieption Area),6053,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Credit Card Machiene (Recieption Area),6029,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Crepe Machine ( Prep ),5019,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Profit Contribution,Crispy Cubes Herbs (Q89),137007,Frozen Vegetables,Kilogram,Kilogram,,1.15,0,0,,1,,,,,,,0,Shkakhwa,18/10/2017
,Expenses,Cruet Set Loose (Black n White) (Wall Display),6113,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Crystal Plate RND 18 CM-10KG 330 Pcs,5000029,Packaging,Each,Each,,0.029,0,0,,1,,,,,,,0,Shkakhwa,27/04/2020
,Profit Contribution,Cucumber,107015,Fresh Vegetables,Kilogram,Kilogram,42.00%,0.3,0,0,,1,,,,,,,0,Shkakhwa,09/02/2018
,Profit Contribution,Cucumber Pickles ,128010,Pickles,Kilogram,Kilogram,43.00%,1.5,0,0,,1,,,,,,,0,Shkakhwa,18/09/2017
,Profit Contribution,Cucumber Yoghurt Prep 1.2 kg (PA),800025,Sub Reciepes,Kilogram,Kilogram,0.00%,0.664,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,CusCus,111011,Grain,Kilogram,Kilogram,,1.188,0,0,,1,,,,,,,0,Admin,20/02/2016
,Expenses,cutlery container  (Dishwasher),5257,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Expenses,Cutlery Set Black ( 4INI ) ,120046,Packaging,Each,Each,,0.029,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Expenses,cutter board blue ( Butchery ),5156,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,cutter heart shape ( Prep ),5055,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,cutter hexagonal shape ( Prep ),5056,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,cutter oval shape ( Prep ),5057,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,cutter round shape ( Prep ),5054,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,Dakoos Powder,112042,Spices,Kilogram,Kilogram,,5,0,0,,1,,,,,,,0,Shkakhwa,16/03/2017
,Profit Contribution,Darna Mix Pickle Extra 1.8 kg,128002,Pickles,Kilogram,Kilogram,38.00%,0.985,0,0,,1,,,,,,,0,Shkakhwa,02/09/2017
,Profit Contribution,Dates (Dont Use ),107017,Fresh Vegetables,Kilogram,Kilogram,25.00%,2.48,0,1,,1,,,,,,,0,Shkakhwa,25/06/2017
