article_type,name,over_group_id,major_group_id,item_group_id,base_unit,store_unit,purchase_price
Profit Contribution,Animal Ghee (Q.B.B PURE GHEE) ,Food,Condiments,Oils,Kilogram,Kilogram,4.524
Profit Contribution,Anticipations MB 3000 75ML,Food,Condiments,Other Condiments,Each,Each,2
Profit Contribution,Apple Vinegar,Food,Condiments,Vineger,Liter,Liter,3.595
Profit Contribution,Aquafina 330 ml,Beverage,POS Beverage,Bottled Water,Each,Bottle 330 ML,0.024
Expenses,Arabic Coffee Pot Medium,Equipments,Small Ware,Small Ware,Each,Each,4.95
Expenses,Arabic Coffee Pot Small,Equipments,Small Ware,Small Ware,Each,Each,3.4
Profit Contribution,Arabic Dough Prep 1.8 kg (PA),Food,Sub Recepies,Sub Reciepes,Kilogram,Kilogram,0.193
Profit Contribution,Arabic Ghee,Food,Condiments,Oils,Kilogram,Kilogram,10
Profit Contribution,Arabic Ice Cream 1 kg,Food,Dairy,Dairy Others,Kilogram,Kilogram,8
Profit Contribution,Arabic Lamb,Food,Fresh Food,Fresh Meat,Kilogram,Kilogram,0
Profit Contribution,Arabic Rose Ice Cream 1 kg,Food,Dairy,Dairy Others,Kilogram,Kilogram,8
Profit Contribution,Areesh Chicken Breast Prep 1 kg (PA),Food,Sub Recepies,Sub Reciepes,Kilogram,Kilogram,3.641
Expenses,Areesh FLV tea Display jar (Bar Area),Assets,Dining Assets,Dining Assets,Each,Each,0
Profit Contribution,Areesh Kunafa Bites Base Prep 12 pcs (PA),Food,Sub Recepies,Sub Reciepes,Portion,Portion,0.054
