article_type,name,over_group_id,major_group_id,item_group_id,base_unit,store_unit,purchase_price
Expenses,Wooden Bread Tong,Assets,Store Asstets,Store Assets,Each,Each,0
Expenses,Wooden Fork 1X100 pcs,General,Packaging,Packaging,Each,Each,0.025
Expenses,Wooden Hummer ( Butchery ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,Wooden Item ( Mamoul Mold ),Assets,Store Asstets,Store Assets,Each,Each,0
Expenses,Wooden Soatula,Assets,Store Asstets,Store Assets,Each,Each,0
Expenses,Wooden Stirrer 14CM,General,Packaging,Packaging,Each,Each,0.002
Expenses,Xtreme bar blender (Bar Area),Assets,Dining Assets,Dining Assets,Each,Each,297.548
Expenses,Xtreme bar blender jar (Bar Area),Assets,Dining Assets,Dining Assets,Each,Each,0
Profit Contribution,Yalangi Areesh Prep 1 kg (PA),Food,Sub Recepies,Sub Reciepes,Kilogram,Kilogram,2.087
Profit Contribution,Yalangi Areesh Prep 394 pcs (PA),Food,Sub Recepies,Sub Reciepes,Each,Each,0.077
Profit Contribution,Yello Borgol DONT USE,Food,Pasta & Grain,Grain,Kilogram,Kilogram,0.367
Profit Contribution,Yellow Apple ,Food,Fruits & Vegetables,Fresh Fruits,Kilogram,Kilogram,0.7
Profit Contribution,yellow Capsicum,Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,1.2
Profit Contribution,yellow lemon ( DOnt Use ),Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0.65
Profit Contribution,YELLOW PAMKING ( Dont Use ),Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0.6
Profit Contribution,Yellow Pumpkin,Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0.45
Expenses,zanoli (chicken roasted) ( BBQ ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,Zenet Twin Tub Washer,Equipments,Small Ware,Small Ware,Each,Each,27
